#id arrival runtime priority memsize
1	4	25	7	1
2	8	15	1	1
3	11	19	2	1
4	16	24	2	1
5	25	30	10	1
6	35	28	3	1
7	45	22	0	1
8	55	4	4	1
9	60	15	5	1
10	62	17	3	1
11	71	23	5	1
12	74	10	5	1
13	78	5	2	1
14	82	18	0	1
15	89	15	6	1
16	93	29	5	1
17	100	26	5	1
18	107	11	4	1
19	116	28	8	1
20	117	29	8	1
21	120	26	10	1
22	128	22	4	1
23	130	19	9	1
24	132	19	9	1
25	135	11	7	1
26	142	30	2	1
27	152	18	5	1
28	156	20	7	1
29	163	12	2	1
30	167	5	10	1
31	167	26	5	1
32	177	26	3	1
33	178	25	5	1
34	187	11	10	1
35	194	24	8	1
36	195	9	2	1
37	196	2	0	1
38	202	15	5	1
39	202	15	8	1
40	203	8	0	1
41	203	17	4	1
42	209	19	5	1
43	218	23	8	1
44	220	4	10	1
45	230	23	5	1
46	237	12	6	1
47	245	13	6	1
48	253	13	8	1
49	255	23	7	1
50	263	1	10	1
51	270	13	0	1
52	270	1	9	1
53	274	24	8	1
54	275	1	6	1
55	275	11	6	1
56	279	26	10	1
57	287	8	1	1
58	288	26	8	1
59	297	17	2	1
60	300	23	8	1
61	302	23	1	1
62	302	20	10	1
63	311	2	6	1
64	318	15	2	1
65	318	8	6	1
66	324	28	8	1
67	327	1	6	1
68	330	2	0	1
69	339	24	4	1
70	339	12	5	1
71	345	5	2	1
72	350	23	6	1
73	354	12	4	1
74	362	15	1	1
75	372	20	9	1
76	375	5	7	1
77	376	19	3	1
78	381	21	8	1
79	384	8	0	1
80	391	24	6	1
81	392	17	2	1
82	393	5	10	1
83	399	6	5	1
84	409	25	5	1
85	409	4	5	1
